collection_id,total_volume,address,collections,chain,daily_volume,_id,sales,buyers,owners
1,2734505883,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,CryptoPunks,['ethereum'],1636712,627b16df53e617450e7bc217,"$1,664,246,968","4,723","3,289"
2,1061782940,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,"Bored Ape Yacht Club",['ethereum'],6313610,627b16df53e617450e7bc219,"$783,882,186","8,284","5,862"
3,624541489,0x60e4d786628fea6478f785a6d7e704777c86a7c6,"Mutant Ape Yacht Club",['ethereum'],8617518,627b16df53e617450e7bc21b,"$422,429,206","10,350","10,254"
4,461613503,0x50f5474724e0ee42d9a4e711ccfb275809fd6d4a,"The Sandbox",['ethereum'],3671598,627b16df53e617450e7bc22d,"$101,869,777","9,349","14,723"
5,280312920,0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7,Meebits,['ethereum'],357593,627b16df53e617450e7bc21d,"$237,519,388","5,112","5,361"
6,267767841,0x06012c8cf97bead5deae237070f9587f8e7a266d,CryptoKitties,['ethereum'],5068,627b16df53e617450e7bc244,"$45,790,208","111,129","109,858"
7,185251822,0x76be3b62873462d2142405439777e971754e8e77,"Parallel Alpha",['ethereum'],93406,627b16df53e617450e7bc220,"$163,724,921","11,103",
8,177215470,0x629a673a8242c2ac4b7b8c5d8735fbeac21a6205,Sorare,['ethereum'],0,627b16df53e617450e7bc225,"$129,615,752","42,675","60,277"
9,174034618,0xba30e5f9bb24caa003e9f2f0497ad287fdf95623,"Bored Ape Kennel Club",['ethereum'],1009477,627b16df53e617450e7bc22b,"$108,210,267","5,622","5,013"
10,170187312,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,Doodles,['ethereum'],11237779,627b16df53e617450e7bc22e,"$97,201,419","7,069","5,150"
11,169729722,0x128675d4fddbc4a0d3f8aa777d8ee0fb8b427c2f,"PUNKS Comic",['ethereum'],453438,627b16df53e617450e7bc226,"$129,584,623","3,357","3,097"
12,160643259,0x3bf2922f4520a8ba0c2efc3d2a1539678dad5e9d,"0N1 Force",['ethereum'],123327,627b16df53e617450e7bc222,"$147,262,453","6,917","4,217"
13,159512883,0x9a534628b4062e123ce7ee2222ec20b86e16ca8f,MekaVerse,['ethereum'],126483,627b16df53e617450e7bc221,"$157,475,681","4,668","5,089"
14,153508689,0xbd3531da5cf5857e7cfaa92426877b022e612cf8,"Pudgy Penguins",['ethereum'],541079,627b16df53e617450e7bc224,"$136,335,178","9,948","4,719"
15,144633821,0x57a204aa1042f6e66dd7730813f4024114d74f37,CyberKongz,['ethereum'],1015571,627b16df53e617450e7bc228,"$119,204,627","2,279","2,048"
16,143868190,0xc2c747e0f7004f9e8817db2ca4997657a7746928,Hashmasks,['ethereum'],28973,627b16df53e617450e7bc233,"$81,416,217","5,419","5,089"
17,117361289,0x22c36bfdcef207f9c0cc941936eff94d4246d14a,"Bored Ape Chemistry Club",['ethereum'],1232464,627b16df53e617450e7bc235,"$79,456,705","1,454",1
18,97334439,0x4b3406a41399c7fd2ba65cbc93697ad9e7ea61e5,LOSTPOETS,['ethereum'],83686,627b16df53e617450e7bc232,"$85,240,932","7,429","6,349"
19,96822704,0xf5b0a3efb8e8e4c201e2a935f110eaaf3ffecb8d,"Axie Infinity",['ethereum'],0,627b16df53e617450e7bc216,"$3,328,148,500","1,079,811","2,656,431"
20,90810374,0xf4ee95274741437636e748ddac70818b4ed7d043,"The Doge Pound",['ethereum'],271585,627b16df53e617450e7bc236,"$77,618,297","6,325","5,501"
21,79155086,0x79986af15539de2db9a5086382daeda917a9cf0c,Cryptovoxels,['ethereum'],76993,627b16df53e617450e7bc261,"$25,769,658","2,191","1,713"
22,75008710,0x8943c7bac1914c9a7aba750bf2b6b09fd21037e0,"Lazy Lions",['ethereum'],648083,627b16df53e617450e7bc239,"$62,711,441","8,547","4,739"
23,73266231,0xad9fd7cb4fc7a0fbce08d64068f60cbde22ed34c,"Vox Collectibles",['ethereum'],550879,627b16df53e617450e7bc24d,"$37,809,113","5,242","3,095"
