sales_id,active_wallets,cumulative_sales,date,primary_sales_cumulative,sales_count
1,0,0,"2022-05-10 21:52:31",0,0
2,8,1020.3,"2022-05-10 21:52:37",0,19
3,21,2261.14,"2022-05-10 21:52:42",0,40
4,28,2778.69,"2022-05-10 21:52:47",0,53
5,34,3203.32,"2022-05-10 21:52:52",0,67
6,44,5296.23,NULL,0,100
7,46,6543.49,NULL,0,115
8,49,8729.21,NULL,0,153
9,53,10437.36,NULL,0,174
10,55,13578.16,NULL,0,184
11,57,16502.77,NULL,0,215
12,59,23752.56,NULL,0,266
13,62,37258.49,NULL,0,324
14,62,39098.78,NULL,0,342
15,64,46120.95,NULL,0,365
16,65,53203.46,NULL,0,402
17,67,56431.34,NULL,0,432
18,70,57400.45,NULL,0,444
19,74,62310.5,NULL,0,461
20,76,68019.87,NULL,0,504
21,81,69798.6,NULL,0,521
22,86,75099.57,NULL,0,552
23,87,75547.97,NULL,0,559
24,88,76097.66,NULL,0,564
25,90,76416.85,NULL,0,567
26,91,77869.05,NULL,0,572
27,93,80790.72,NULL,0,602
28,93,84227.47,NULL,0,633
29,93,86580.18,NULL,0,654
30,95,88715.19,NULL,0,675
31,96,89759.95,NULL,0,688
32,97,90181.65,NULL,0,694
33,99,91308.47,NULL,0,709
34,101,93077.94,NULL,0,717
35,102,93392.45,NULL,0,722
36,103,93504.21,NULL,0,724
37,104,93878.21,NULL,0,729
38,105,94885.01,NULL,0,737
39,105,96364,NULL,0,753
40,106,96577.45,NULL,0,755
41,106,96686.45,NULL,0,757
42,106,97212.19,NULL,0,758
43,109,101812.09,NULL,0,779
44,109,101812.09,NULL,0,779
45,110,103331.02,NULL,0,781
46,110,103331.02,NULL,0,781
47,110,103407.54,NULL,0,782
48,112,104405.14,NULL,0,787
49,112,104672.5,NULL,0,790
50,112,104853.54,NULL,0,792
51,114,105512.91,NULL,0,800
52,116,106551.43,NULL,0,817
53,117,107356.72,NULL,0,824
54,118,107860.59,NULL,0,827
55,118,108121.48,NULL,0,831
56,118,108331.51,NULL,0,833
57,118,108481.79,NULL,0,835
58,118,108570.63,NULL,0,836
59,119,108689.28,NULL,0,837
60,119,108851.62,NULL,0,838
61,120,109644.24,NULL,0,846
62,120,109731.65,NULL,0,847
63,121,109886.87,NULL,0,849
64,121,109886.87,NULL,0,849
65,122,110143.51,NULL,0,852
66,122,110242.47,NULL,0,853
67,122,110242.47,NULL,0,853
