Id,Date,Sales_USD_cumsum,Number_of_Sales_cumsum,Active_Market_Wallets_cumsum,Primary_Sales_cumsum,Secondary_Sales_cumsum,AverageUSD_cum,Sales_USD,Number_of_Sales,Active_Market_Wallets,Primary_Sales
1,2017-06-22,0.0,0,0.0,0,,,,,,
2,2017-06-23,1020.3,19,8.0,0,19.0,53.7,1020.3,19.0,8.0,0.0
3,2017-06-24,2261.14,40,21.0,0,21.0,56.53,1240.84,21.0,13.0,0.0
4,2017-06-25,2778.69,53,28.0,0,13.0,52.43,517.5500000000000,13.0,7.0,0.0
5,2017-06-26,3203.32,67,34.0,0,14.0,47.81,424.6300000000000,14.0,6.0,0.0
6,2017-06-27,5296.23,100,44.0,0,33.0,52.96,2092.9100000000000,33.0,10.0,0.0
7,2017-06-28,6543.49,115,46.0,0,15.0,56.9,1247.2600000000000,15.0,2.0,0.0
8,2017-06-29,8729.21,153,49.0,0,38.0,57.05,2185.7200000000000,38.0,3.0,0.0
9,2017-06-30,10437.36,174,53.0,0,21.0,59.98,1708.1500000000000,21.0,4.0,0.0
10,2017-07-01,13578.16,184,55.0,0,10.0,73.79,3140.8000000000000,10.0,2.0,0.0
11,2017-07-02,16502.77,215,57.0,0,31.0,76.76,2924.6100000000000,31.0,2.0,0.0
12,2017-07-03,23752.56,266,59.0,0,51.0,89.3,7249.790000000000,51.0,2.0,0.0
13,2017-07-04,37258.49,324,62.0,0,58.0,115.0,13505.930000000000,58.0,3.0,0.0
14,2017-07-05,39098.78,342,62.0,0,18.0,114.32,1840.2900000000000,18.0,0.0,0.0
15,2017-07-06,46120.95,365,64.0,0,23.0,126.36,7022.170000000000,23.0,2.0,0.0
16,2017-07-07,53203.46,402,65.0,0,37.0,132.35,7082.510000000000,37.0,1.0,0.0
17,2017-07-08,56431.34,432,67.0,0,30.0,130.63,3227.8800000000000,30.0,2.0,0.0
18,2017-07-09,57400.45,444,70.0,0,12.0,129.28,969.1100000000010,12.0,3.0,0.0
19,2017-07-10,62310.5,461,74.0,0,17.0,135.16,4910.050000000000,17.0,4.0,0.0
20,2017-07-11,68019.87,504,76.0,0,43.0,134.96,5709.370000000000,43.0,2.0,0.0
21,2017-07-12,69798.6,521,81.0,0,17.0,133.97,1778.7300000000100,17.0,5.0,0.0
22,2017-07-13,75099.57,552,86.0,0,31.0,136.05,5300.970000000000,31.0,5.0,0.0
23,2017-07-14,75547.97,559,87.0,0,7.0,135.15,448.3999999999940,7.0,1.0,0.0
24,2017-07-15,76097.66,564,88.0,0,5.0,134.92,549.6900000000020,5.0,1.0,0.0
25,2017-07-16,76416.85,567,90.0,0,3.0,134.77,319.1900000000020,3.0,2.0,0.0
26,2017-07-17,77869.05,572,91.0,0,5.0,136.13,1452.200000000000,5.0,1.0,0.0
27,2017-07-18,80790.72,602,93.0,0,30.0,134.2,2921.6700000000000,30.0,2.0,0.0
28,2017-07-19,84227.47,633,93.0,0,31.0,133.06,3436.75,31.0,0.0,0.0
29,2017-07-20,86580.18,654,93.0,0,21.0,132.39,2352.709999999990,21.0,0.0,0.0
30,2017-07-21,88715.19,675,95.0,0,21.0,131.43,2135.0100000000100,21.0,2.0,0.0
31,2017-07-22,89759.95,688,96.0,0,13.0,130.47,1044.7599999999900,13.0,1.0,0.0
32,2017-07-23,90181.65,694,97.0,0,6.0,129.94,421.6999999999970,6.0,1.0,0.0
33,2017-07-24,91308.47,709,99.0,0,15.0,128.78,1126.820000000010,15.0,2.0,0.0
34,2017-07-25,93077.94,717,101.0,0,8.0,129.82,1769.4700000000000,8.0,2.0,0.0
35,2017-07-26,93392.45,722,102.0,0,5.0,129.35,314.50999999999500,5.0,1.0,0.0
36,2017-07-27,93504.21,724,103.0,0,2.0,129.15,111.76000000000900,2.0,1.0,0.0
37,2017-07-28,93878.21,729,104.0,0,5.0,128.78,374.0,5.0,1.0,0.0
38,2017-07-29,94885.01,737,105.0,0,8.0,128.74,1006.7999999999900,8.0,1.0,0.0
39,2017-07-30,96364.0,753,105.0,0,16.0,127.97,1478.9900000000100,16.0,0.0,0.0
40,2017-07-31,96577.45,755,106.0,0,2.0,127.92,213.4499999999970,2.0,1.0,0.0
41,2017-08-01,96686.45,757,106.0,0,2.0,127.72,109.0,2.0,0.0,0.0
42,2017-08-02,97212.19,758,106.0,0,1.0,128.25,525.7400000000050,1.0,0.0,0.0
43,2017-08-03,101812.09,779,109.0,0,21.0,130.7,4599.899999999990,21.0,3.0,0.0
44,2017-08-04,101812.09,779,109.0,0,0.0,130.7,0.0,0.0,0.0,0.0
45,2017-08-05,103331.02,781,110.0,0,2.0,132.31,1518.9300000000100,2.0,1.0,0.0
46,2017-08-06,103331.02,781,110.0,0,0.0,132.31,0.0,0.0,0.0,0.0
47,2017-08-07,103407.54,782,110.0,0,1.0,132.23,76.51999999998950,1.0,0.0,0.0
48,2017-08-08,104405.14,787,112.0,0,5.0,132.66,997.6000000000060,5.0,2.0,0.0
49,2017-08-09,104672.5,790,112.0,0,3.0,132.5,267.3600000000010,3.0,0.0,0.0
50,2017-08-10,104853.54,792,112.0,0,2.0,132.39,181.0399999999940,2.0,0.0,0.0
51,2017-08-11,105512.91,800,114.0,0,8.0,131.89,659.3700000000100,8.0,2.0,0.0
52,2017-08-12,106551.43,817,116.0,0,17.0,130.42,1038.5199999999900,17.0,2.0,0.0
53,2017-08-13,107356.72,824,117.0,0,7.0,130.29,805.2900000000080,7.0,1.0,0.0
54,2017-08-14,107860.59,827,118.0,0,3.0,130.42,503.86999999999500,3.0,1.0,0.0
55,2017-08-15,108121.48,831,118.0,0,4.0,130.11,260.8899999999990,4.0,0.0,0.0
56,2017-08-16,108331.51,833,118.0,0,2.0,130.05,210.02999999999900,2.0,0.0,0.0
57,2017-08-17,108481.79,835,118.0,0,2.0,129.92,150.27999999999900,2.0,0.0,0.0
58,2017-08-18,108570.63,836,118.0,0,1.0,129.87,88.84000000001110,1.0,0.0,0.0
59,2017-08-19,108689.28,837,119.0,0,1.0,129.86,118.64999999999400,1.0,1.0,0.0
60,2017-08-20,108851.62,838,119.0,0,1.0,129.89,162.3399999999970,1.0,0.0,0.0
61,2017-08-21,109644.24,846,120.0,0,8.0,129.6,792.6200000000100,8.0,1.0,0.0
62,2017-08-22,109731.65,847,120.0,0,1.0,129.55,87.40999999998890,1.0,0.0,0.0
63,2017-08-23,109886.87,849,121.0,0,2.0,129.43,155.22000000000100,2.0,1.0,0.0
64,2017-08-24,109886.87,849,121.0,0,0.0,129.43,0.0,0.0,0.0,0.0
65,2017-08-25,110143.51,852,122.0,0,3.0,129.28,256.6399999999990,3.0,1.0,0.0
66,2017-08-26,110242.47,853,122.0,0,1.0,129.24,98.9600000000064,1.0,0.0,0.0
67,2017-08-27,110242.47,853,122.0,0,0.0,129.24,0.0,0.0,0.0,0.0
68,2017-08-28,111388.32,862,124.0,0,9.0,129.22,1145.8500000000100,9.0,2.0,0.0
69,2017-08-29,111480.02,863,124.0,0,1.0,129.18,91.69999999999710,1.0,0.0,0.0
70,2017-08-30,111654.32,865,125.0,0,2.0,129.08,174.3000000000030,2.0,1.0,0.0
71,2017-08-31,111757.71,866,125.0,0,1.0,129.05,103.38999999999900,1.0,0.0,0.0
72,2017-09-01,112263.82,871,125.0,0,5.0,128.89,506.1100000000010,5.0,0.0,0.0
73,2017-09-02,112333.1,874,126.0,0,3.0,128.53,69.27999999999880,3.0,1.0,0.0
74,2017-09-03,112333.1,874,126.0,0,0.0,128.53,0.0,0.0,0.0,0.0
75,2017-09-04,112647.8,877,128.0,0,3.0,128.45,314.6999999999970,3.0,2.0,0.0
76,2017-09-05,112647.8,877,128.0,0,0.0,128.45,0.0,0.0,0.0,0.0
77,2017-09-06,112647.8,877,128.0,0,0.0,128.45,0.0,0.0,0.0,0.0
78,2017-09-07,112647.8,877,128.0,0,0.0,128.45,0.0,0.0,0.0,0.0
79,2017-09-08,112723.92,878,129.0,0,1.0,128.39,76.11999999999530,1.0,1.0,0.0
80,2017-09-09,112723.92,878,129.0,0,0.0,128.39,0.0,0.0,0.0,0.0
81,2017-09-10,112925.94,881,129.0,0,3.0,128.18,202.02000000000400,3.0,0.0,0.0
82,2017-09-11,113065.28,883,129.0,0,2.0,128.05,139.3399999999970,2.0,0.0,0.0
83,2017-09-12,113146.65,885,129.0,0,2.0,127.85,81.36999999999530,2.0,0.0,0.0
84,2017-09-13,113146.65,885,129.0,0,0.0,127.85,0.0,0.0,0.0,0.0
85,2017-09-14,113146.65,885,129.0,0,0.0,127.85,0.0,0.0,0.0,0.0
86,2017-09-15,113146.65,885,129.0,0,0.0,127.85,0.0,0.0,0.0,0.0
87,2017-09-16,113217.64,886,129.0,0,1.0,127.79,70.99000000000520,1.0,0.0,0.0
88,2017-09-17,113351.36,888,130.0,0,2.0,127.65,133.72000000000100,2.0,1.0,0.0
89,2017-09-18,113414.71,889,131.0,0,1.0,127.58,63.35000000000580,1.0,1.0,0.0
90,2017-09-19,113793.31,893,132.0,0,4.0,127.43,378.59999999999100,4.0,1.0,0.0
91,2017-09-20,114166.06,896,132.0,0,3.0,127.42,372.75,3.0,0.0,0.0
92,2017-09-21,114374.6,900,134.0,0,4.0,127.08,208.54000000000800,4.0,2.0,0.0
93,2017-09-22,114445.74,901,134.0,0,1.0,127.02,71.13999999999940,1.0,0.0,0.0
94,2017-09-23,114689.31,905,135.0,0,4.0,126.73,243.56999999999200,4.0,1.0,0.0
95,2017-09-24,114745.45,906,135.0,0,1.0,126.65,56.13999999999940,1.0,0.0,0.0
96,2017-09-25,114745.45,906,135.0,0,0.0,126.65,0.0,0.0,0.0,0.0
97,2017-09-26,114745.45,906,135.0,0,0.0,126.65,0.0,0.0,0.0,0.0
98,2017-09-27,115168.46,910,136.0,0,4.0,126.56,423.0100000000090,4.0,1.0,0.0
99,2017-09-28,115204.66,911,137.0,0,1.0,126.46,36.19999999999710,1.0,1.0,0.0
100,2017-09-29,115519.01,918,137.0,0,7.0,125.84,314.34999999999100,7.0,0.0,0.0
101,2017-09-30,115679.53,928,137.0,0,10.0,124.65,160.52000000000400,10.0,0.0,0.0
102,2017-10-01,116129.05,929,138.0,0,1.0,125.0,449.5200000000040,1.0,1.0,0.0
103,2017-10-02,116129.05,929,138.0,0,0.0,125.0,0.0,0.0,0.0,0.0
104,2017-10-03,116129.05,929,138.0,0,0.0,125.0,0.0,0.0,0.0,0.0
105,2017-10-04,116187.65,930,138.0,0,1.0,124.93,58.59999999999130,1.0,0.0,0.0
106,2017-10-05,116187.65,930,138.0,0,0.0,124.93,0.0,0.0,0.0,0.0
107,2017-10-06,116187.65,930,138.0,0,0.0,124.93,0.0,0.0,0.0,0.0
108,2017-10-07,116187.65,930,138.0,0,0.0,124.93,0.0,0.0,0.0,0.0
109,2017-10-08,116280.69,931,138.0,0,1.0,124.9,93.04000000000820,1.0,0.0,0.0
110,2017-10-09,116307.32,932,138.0,0,1.0,124.79,26.630000000004700,1.0,0.0,0.0
111,2017-10-10,116307.32,932,138.0,0,0.0,124.79,0.0,0.0,0.0,0.0
112,2017-10-11,116374.04,933,138.0,0,1.0,124.73,66.71999999998660,1.0,0.0,0.0
113,2017-10-12,116413.3,934,138.0,0,1.0,124.64,39.26000000000930,1.0,0.0,0.0
114,2017-10-13,116768.15,938,140.0,0,4.0,124.49,354.84999999999100,4.0,2.0,0.0
115,2017-10-14,117023.01,942,140.0,0,4.0,124.23,254.86000000000100,4.0,0.0,0.0
116,2017-10-15,117200.76,945,140.0,0,3.0,124.02,177.75,3.0,0.0,0.0
117,2017-10-16,117380.03,947,140.0,0,2.0,123.95,179.27000000000400,2.0,0.0,0.0
118,2017-10-17,117380.03,947,140.0,0,0.0,123.95,0.0,0.0,0.0,0.0
119,2017-10-18,117380.03,947,140.0,0,0.0,123.95,0.0,0.0,0.0,0.0
120,2017-10-19,117407.79,948,140.0,0,1.0,123.85,27.75999999999480,1.0,0.0,0.0
121,2017-10-20,117504.54,949,141.0,0,1.0,123.82,96.75,1.0,1.0,0.0
122,2017-10-21,117582.72,950,141.0,0,1.0,123.77,78.18000000000760,1.0,0.0,0.0
123,2017-10-22,117582.72,950,141.0,0,0.0,123.77,0.0,0.0,0.0,0.0
124,2017-10-23,117582.72,950,141.0,0,0.0,123.77,0.0,0.0,0.0,0.0
125,2017-10-24,117582.72,950,141.0,0,0.0,123.77,0.0,0.0,0.0,0.0
126,2017-10-25,117627.5,951,141.0,0,1.0,123.69,44.779999999998800,1.0,0.0,0.0
127,2017-10-26,117896.42,958,141.0,0,7.0,123.07,268.91999999999800,7.0,0.0,0.0
128,2017-10-27,118075.17,964,141.0,0,6.0,122.48,178.75,6.0,0.0,0.0
129,2017-10-28,118253.05,970,141.0,0,6.0,121.91,177.88000000000500,6.0,0.0,0.0
130,2017-10-29,118274.31,971,141.0,0,1.0,121.81,21.25999999999480,1.0,0.0,0.0
131,2017-10-30,118491.75,974,142.0,0,3.0,121.65,217.44000000000200,3.0,1.0,0.0
132,2017-10-31,118713.34,980,143.0,0,6.0,121.14,221.5899999999970,6.0,1.0,0.0
133,2017-11-01,118824.42,984,144.0,0,4.0,120.76,111.08000000000200,4.0,1.0,0.0
134,2017-11-02,118936.38,987,146.0,0,3.0,120.5,111.9600000000060,3.0,2.0,0.0
135,2017-11-03,118936.38,987,146.0,0,0.0,120.5,0.0,0.0,0.0,0.0
136,2017-11-04,119023.37,990,147.0,0,3.0,120.23,86.98999999999070,3.0,1.0,0.0
137,2017-11-05,119023.37,990,147.0,0,0.0,120.23,0.0,0.0,0.0,0.0
138,2017-11-06,119023.37,990,147.0,0,0.0,120.23,0.0,0.0,0.0,0.0
